  Frame_#         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      461        0.212        3.587            0      295.499       88.446      172.656
      462        0.291        3.642            0      298.115       95.172      177.671
      463        0.328        3.663            0      298.382      106.202      176.952
      464        0.289        3.634            0      295.571       94.141      175.292
      465        0.283        3.611            0      295.085       97.924      171.919
      466        0.361        3.550            0      293.267       80.224      174.026
      467        0.276        3.637            0      298.154       92.188      172.456
      468        0.256        3.617            0      296.539       74.257      173.730
      469        0.326        3.648            0      298.044       84.024      175.347
      470        0.238        3.636            0      297.818       62.056      175.851
      471        0.191        3.599            0      295.228       87.299      167.739
      472        0.311        3.643            0      296.026       78.112      172.320
      473        0.262        3.654            0      298.597       83.263      175.826
      474        0.297        3.613            0      294.637       71.158      172.172
      475        0.287        3.625            0      296.934       92.815      172.396
      476        0.289        3.624            0      296.355       82.276      172.247
      477        0.228        3.631            0      297.431       91.732      174.536
      478        0.344        3.631            0      297.819       58.858      177.748
      479        0.347        3.661            0      298.568       87.151      175.651
      480        0.331        3.618            0      296.081       64.617      178.023
      481        0.290        3.602            0      294.833       77.165      173.938
      482        0.301        3.625            0      297.872       91.503      174.064
      483        0.246        3.555            0      293.596       77.361      173.733
      484        0.337        3.641            0      298.360       81.420      176.328
      485        0.217        3.585            0      295.177       83.773      175.965
      486        0.319        3.597            0      295.277       94.107      170.210
      487        0.238        3.639            0      297.053       93.225      174.734
      488        0.279        3.619            0      296.731      107.393      174.433
      489        0.224        3.611            0      295.890       89.719      173.222
      490        0.306        3.611            0      296.123       86.526      173.574
      491        0.223        3.645            0      298.176       96.656      174.735
      492        0.295        3.635            0      296.158      107.920      169.987
      493        0.236        3.593            0      293.417       82.376      172.696
      494        0.302        3.626            0      297.366      102.077      174.507
      495        0.203        3.630            0      297.190      111.158      175.729
      496        0.289        3.624            0      296.749      102.152      173.877
      497        0.257        3.581            0      292.934       71.063      174.312
      498        0.360        3.629            0      295.537       71.667      175.941
      499        0.169        3.624            0      297.492       82.878      174.408
      500        0.353        3.608            0      295.922       83.340      173.618
      501        0.362        3.647            0      297.013       77.071      174.423
      502        0.250        3.617            0      296.135       87.267      174.720
      503        0.326        3.577            0      295.363       93.900      174.325
      504        0.254        3.586            0      294.369       85.891      172.940
      505        0.321        3.652            0      295.970       81.043      172.440
      506        0.204        3.617            0      296.907       88.348      173.525
      507        0.278        3.644            0      298.114       70.418      169.457
      508        0.250        3.621            0      298.019       95.766      176.608
      509        0.214        3.646            0      299.172       87.388      177.104
      510        0.156        3.608            0      297.186       94.429      175.953
      511        0.227        3.639            0      297.047       80.331      172.976
      512        0.300        3.631            0      296.221       84.677      173.432
      513        0.241        3.611            0      296.503       79.566      175.590
      514        0.338        3.655            0      298.701       87.660      178.008
      515        0.318        3.624            0      297.130       75.740      174.951
      516        0.236        3.671            0      300.162       76.794      176.666
      517        0.310        3.630            0      297.541       96.305      175.984
      518        0.294        3.640            0      297.964       86.543      178.149
      519        0.284        3.597            0      294.768       72.278      175.290
      520        0.361        3.653            0      296.631       61.336      175.567
      521        0.198        3.591            0      295.401       93.481      171.373
      522        0.359        3.641            0      298.590      101.234      179.376
      523        0.240        3.601            0      295.459       78.635      171.967
      524        0.249        3.588            0      295.911       96.424      176.727
      525        0.180        3.640            0      298.614       91.638      174.810
      526        0.213        3.641            0      298.414       67.670      176.537
      527        0.332        3.617            0      296.208       71.702      177.527
      528        0.313        3.570            0      293.854       87.328      174.482
