NatID,SMILES
213,C[C@@H]1C[C@H]2CC3=C(CCC(=O)N3)[C@@]3(C1)[C@H]2CCCN3C
214,C[C@@H]1C[C@H]2CC3=C(CCC(=O)N3)[C@]3(C1)NCCC[C@@H]23
217,C[C@@H]1C[C@H]2Cc3ncccc3[C@]3(C1)NCCC[C@H]23
218,C[C@@H]1C[C@H]2Cc3ncccc3[C@@]3(C1)[C@@H]2CCCN3C
219,CC(=O)N1CCC[C@@H]2[C@@H]3Cc4ncccc4[C@@]21C[C@H](C)C3
220,COc1cc2c(cc1O)C(=O)c1ccc(C)c(O)c1C2=O
221,COc1cc2c(cc1O)C(=O)c1cc(C)ccc1C2=O
222,Cc1ccc2c(c1O)C(=O)c1ccc(O)c(-c3c(O)ccc4c3C(=O)c3ccc(C)c(O)c3C4=O)c1C2=O
223,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O
224,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O
225,Cc1ccc2c(c1O)C(=O)c1ccc(O)cc1C2=O
226,COc1c(C)ccc2c1C(=O)c1ccc(O)cc1C2=O
227,Cc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O
228,COc1c(C)c(O)cc2c1C(=O)c1ccccc1C2=O
229,COc1c(C=O)c(O)cc2c1C(=O)c1ccccc1C2=O
235,CCC(=O)O[C@H]1C[C@@](C)(OC(C)=O)C(=O)CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(COC(C)=O)=C12
236,C=C(CO)[C@@H]1CC[C@@]2(C)CC(=O)C[C@@H](C)[C@@H]2C1
238,CC(C)C1=C(O)C(=O)C2=C(C=C[C@H]3[C@]4(CCC[C@]3(C)C(=O)O4)C2)C1=O
239,CC(C)C1=C(O)C(=O)C2=C(C=C[C@H]3[C@]4(C)CCC[C@]23COC4=O)C1=O
240,CC(C)C1=C(O)C(=O)C2=C(C1=O)[C@H]1OC(=O)[C@@]23CCC[C@](C)(CO)[C@@H]3[C@H]1O
241,C=C1CC[C@@]2(C(C)C)C[C@@H]12
242,CC1=CC[C@](O)(C(C)C)CC1
244,CC(C)[C@]12CC[C@](C)(O)[C@H]1C2
245,C=CCCCCCCCCC
247,CC(=O)OC[C@@]12CC[C@@H](C)[C@](C)(CCc3ccoc3)[C@H]1C=CC=C2C(=O)O
248,C[C@@H]1CC[C@@]23CO[C@@H](C=C2C(=O)O)C[C@@H]3[C@@]1(C)CCc1ccoc1
251,C[C@@H]1CC[C@@]2(CO)C(C(=O)O)=CCC[C@@H]2[C@@]1(C)CCc1ccoc1
257,CC(=O)OC[C@H]1O[C@@H](OC(=O)C2=CCC[C@H]3[C@]2(C)CC[C@@H](C)[C@]3(C)CCC2=CC(=O)OC2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O
258,CC(C)=CCCC(=CCCC(C)=CCCc1ccoc1)C(=O)O
259,CC12CC(c3ccoc3)OC(=O)C1CCC13COC(=O)C1CCCC23
265,CC1=C(C)[C@@]2(c3cccc4c3COC4=O)C[C@H](c3ccoc3)O[C@H]2O1
267,C[C@]12C[C@H](c3ccoc3)OC[C@@H]1CC[C@@]13COC(=O)[C@@H]1CCC[C@@H]32
269,C[C@@H]1CC[C@@]2(C)C(C(=O)O)=C[C@@H](O)C[C@@H]2[C@@]1(C)CCc1ccoc1
273,CC1=C2C[C@]3(C)[C@@H](C)CCC(=O)[C@@H]3C[C@@]2(O)OC1=O
275,CC=C1C[C@H](C)[C@@](C)(O)C(=O)OCC2=CCN3C[C@H](O)[C@@H](OC1=O)[C@@H]23
276,CC(=CC(=O)O)CC[C@@]1(C)[C@H](C)CC[C@]2(C)[C@@H]1C[C@@H](O)[C@@H](O)[C@]2(C)O
280,CC(=O)O[C@H]1c2c(C)coc2C[C@H]2C(=O)CC[C@H](C)[C@]21C
285,COc1c(O)ccc2c(=O)c(O)c(-c3ccccc3)oc12
292,CCCCCCCCCCCCCCCCCc1cc(O)cc(O)c1
293,CCCCCCCCCCCCCCCCCCCCCc1cc(O)cc(O)c1
294,CCCCCCCCCCCCCCCCCc1cc(O)cc(OC)c1
295,CCCCCCCCCCCCCCCCCCCCCc1cc(OC)cc(OC)c1
296,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
297,COc1cc(O)c2c(=O)c3c(O)ccc(OC)c3oc2c1
298,O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12
299,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1
300,COc1ccc(O)c2c(=O)c3c(O)cc(O)cc3oc12
301,CC1=C(C)[C@H]([C@H]2O[C@@]3(O)C[C@H]4[C@@H](C[C@H]5O[C@]56CC=CC(=O)[C@]46C)[C@@H]4CC[C@@](O)([C@@H]2C)[C@]43C)OC1=O
306,CC1=C(C)C(=O)O[C@]2(C1)O[C@@]1(O)C[C@H]3[C@@H](C[C@@H](O)C4=CC=CC(=O)[C@@]43C)[C@@H]3CC[C@@](O)([C@@H]2C)[C@]31C
313,CC(=O)O[C@@H]1C[C@H]2[C@@H]3CC=C4CC=CC(=O)[C@]4(C)[C@H]3CC(=O)[C@]2(C)[C@H]1[C@H](C)[C@H]1C[C@]2(C)O[C@]2(C)[C@H](O)O1
314,CC1=C(C)C(=O)O[C@@H]([C@H]2CO[C@@]3(O)C[C@H]4[C@@H](CC=C5C=CCC(=O)[C@@]54C)[C@@H]4CC[C@]2(O)[C@]43C)C1
320,CC1=C(C)C(=O)O[C@@H]([C@H]2CO[C@@]3(O)C[C@H]4[C@@H](C[C@H]5O[C@]56C[C@@H](Sc5ccccc5)CC(=O)[C@]46C)[C@@H]4CC[C@]2(O)[C@]43C)C1
321,CO[C@H]1CC(=O)[C@]2(C)[C@H]3C[C@]4(OC)OC[C@H]([C@H]5CC(C)=C(C)C(=O)O5)[C@]5(O)CC[C@H]([C@H]3C[C@H]3O[C@]32C1)[C@]45C
323,CC1=CC[C@@H]2C(C)(C)[C@H](O)C(=O)C[C@@]2(C)[C@@H]1CC[C@@H](C)CC(=O)O
325,CC(=O)O[C@@H]1c2c(C)coc2C(=O)[C@H]2[C@@H](O)CC[C@H](C)[C@@]12C
326,CC(=O)O[C@H]1CC[C@H](C)[C@@]2(C)[C@H](OC(C)=O)c3c(C)coc3C(=O)[C@H]12
327,CC(=O)OCC1=C2[C@@H](OC(=O)C=C(C)C)C[C@@H](C)C(=O)CC[C@@]3(C)O[C@@H]3[C@H]2OC1=O
337,C=C1C(=O)O[C@H]2[C@H]1[C@H](OC(=O)[C@]1(C)O[C@@H]1C)[C@@H](OC(C)=O)C(C(=O)OC)=CCC[C@@]1(C)O[C@H]21
338,C=C1C(=O)O[C@@H]2C=C(C)CCC=C(C(=O)OC)[C@H](OC(C)=O)[C@@H](OC(=O)[C@]3(C)O[C@@H]3C)[C@@H]12
339,C=C1C(=O)O[C@@H]2C=C(C)CCC=C(C(=O)OC)[C@H](OC(C)=O)[C@@H](OC(=O)C(C)=CC)[C@@H]12
340,C=C1C(=O)O[C@H]2C[C@H](C)CCC=C(C(=O)OC)C[C@H](OC(=O)C(C)=CC)[C@H]12
342,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1
343,COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O
344,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1OC
345,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1OC
346,C=C1C(=O)O[C@H]2[C@H]1[C@H](OC(=O)[C@@H](C)CC)[C@@H](OC(C)=O)C(C(=O)OC)=CCC[C@@]1(C)O[C@H]21
348,C=C1C(=O)O[C@H]2[C@H]1CC[C@@]1(C)[C@@H](O)CC[C@@](O)(COC(C)=O)[C@H]21
349,C=C1C(=O)O[C@H]2[C@H]1CC[C@]1(C)[C@@H]2[C@@](COC(C)=O)(OC(C)=O)CC[C@H]1O
350,C=C1C(=O)O[C@H]2[C@H]1CC[C@@]1(C)[C@@H](OC(C)=O)CC[C@](O)(COC(C)=O)[C@H]21
353,C=C1C(=O)O[C@H]2[C@H]1CC[C@]1(C)[C@@H]2C(CO)=C[C@@H](O)[C@@H]1O
354,C=C1C(=O)O[C@@H]2C3=C(CO)CC[C@@H](O)[C@]3(C)CC[C@@H]12
356,C=C(C)[C@H]1Cc2cc(C(C)=O)c(O)cc2O1
365,C[C@@H]1CCC(=O)[C@]2(C)C[C@@H]2CC(C)(C)CC1=O
366,CC(=O)CC[C@@H]1C(=O)CC(C)(C)C[C@H]2C[C@]21C
367,C[C@@H]1CCC2=C(C1=O)C(C)(C)C[C@H]1C[C@@]21C
368,CC1(C)C[C@H]2C[C@@]2(C)C2=C1C(=O)[C@@](C)(O)CC2
374,CC(=O)OC[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1
375,C=C1C(=O)C[C@@H]2CC(CO)=C3CC[C@@](C)(O)[C@H]3C[C@@H]12
378,COc1cc([C@@H]2Oc3ccc(CCCO)cc3[C@H]2CO)cc(OC)c1O
380,CCOCC1=C2C(=CC3(C)CCC(O)(O3)C(C)(O)CC2OC(C)=O)OC1=O
383,CC1(C)C[C@H](O)C[C@@]2(C)OC(=O)C=C12
384,C[C@H]1CC=CC(C)(C)CC(=O)[C@H](C)CCC1=O
385,CC1=C[C@H]2C(=C(C)C)CC[C@@H](C)[C@@]2(O)CC1
386,CC1=C[C@H]2[C@H](C(C)C)CC[C@](C)(O)[C@@H]2CC1
387,COc1cc(O)c(C(C)=O)c(OC)c1
391,O=C(N[C@@H](Cc1ccccc1)C(=O)OC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)c1ccccc1
400,C=C1C(=O)OC2C=C(C)CCC=C(C(=O)OC)C(OC(C)=O)C(OC(=O)C(C)(O)CO)C12
401,C=C(C)C(=O)O[C@@H]1[C@@H](OC(C)=O)C(C(=O)OC)=CCCC(C)=C[C@H]2OC(=O)C(=C)[C@H]12
402,C=C(CO)C(=O)O[C@@H]1[C@@H](OC(C)=O)C(C(=O)OC)=CCCC(C)=C[C@H]2OC(=O)C(=C)[C@H]12
