  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      444        0.271        3.474            0      306.392      139.769      158.870
      445        0.217        3.447            0      306.088      186.369      162.183
      446        0.195        3.488            0      306.235      152.859      162.140
      447        0.180        3.447            0      305.284      145.083      157.174
      448        0.207        3.506            0      306.627      164.115      161.445
      449        0.189        3.441            0      305.741      120.810      161.673
      450        0.240        3.437            0      304.908      110.647      158.598
      451        0.202        3.479            0      306.649      125.329      160.359
      452        0.201        3.484            0      307.856      162.236      162.399
      453        0.241        3.465            0      304.509      184.070      161.238
      454        0.196        3.493            0      307.170      149.244      161.059
      455        0.195        3.474            0      307.495      159.652      160.846
      456        0.237        3.432            0      305.282      129.424      160.247
      457        0.269        3.406            0      303.063      159.951      161.537
      458        0.218        3.411            0      303.455      143.937      163.167
      459        0.235        3.473            0      307.256      156.940      161.006
      460        0.207        3.466            0      306.700      231.514      160.354
      461        0.241        3.446            0      304.451      247.944      159.392
      462        0.234        3.483            0      306.204      175.882      157.480
      463        0.176        3.465            0      306.305      187.233      161.011
      464        0.309        3.406            0      305.994      149.517      165.029
      465        0.232        3.499            0      308.592      136.626      159.162
      466        0.240        3.445            0      306.774      145.631      163.647
      467        0.256        3.473            0      307.428      158.133      162.219
      468        0.206        3.516            0      309.579      146.573      161.744
      469        0.192        3.478            0      308.888      157.350      163.307
      470        0.252        3.502            0      309.151      133.819      161.337
      471        0.241        3.498            0      306.659      164.200      160.694
      472        0.210        3.460            0      305.783      208.777      156.378
      473        0.181        3.428            0      303.824      175.055      159.884
      474        0.289        3.443            0      306.653      143.136      160.788
      475        0.178        3.471            0      306.529      177.785      159.864
      476        0.137        3.447            0      304.907      196.695      162.107
      477        0.275        3.472            0      306.851      150.733      160.479
      478        0.304        3.398            0      301.738      181.623      158.590
      479        0.143        3.462            0      306.840      154.549      159.520
      480        0.284        3.438            0      305.269      154.995      161.401
      481        0.296        3.425            0      304.880      154.651      164.321
      482        0.181        3.479            0      306.681      175.779      160.399
      483        0.195        3.451            0      304.974      155.928      163.036
      484        0.169        3.470            0      305.293      165.428      161.279
      485        0.174        3.462            0      306.673      154.094      166.101
      486        0.224        3.472            0      308.192      187.003      163.941
      487        0.165        3.480            0      307.464      185.603      163.707
      488        0.186        3.453            0      305.021      263.652      158.122
      489        0.197        3.501            0      308.706      185.817      165.105
      490        0.277        3.458            0      306.115      251.585      161.693
      491        0.211        3.440            0      304.735      217.755      157.807
      492        0.251        3.467            0      306.270      243.155      160.846
      493        0.175        3.439            0      306.587      214.688      160.852
      494        0.187        3.453            0      306.724      220.216      159.958
      495        0.197        3.421            0      304.088      224.267      162.530
      496        0.182        3.441            0      305.827      205.491      159.713
      497        0.196        3.450            0      306.817      164.157      165.059
      498        0.138        3.454            0      305.992      158.137      164.406
      499        0.204        3.484            0      308.655      196.534      166.268
      500        0.373        3.431            0      304.171      133.724      163.861
      501        0.204        3.466            0      305.423      228.083      162.899
      502        0.175        3.464            0      306.532      196.160      163.577
      503        0.174        3.460            0      305.773      204.501      163.847
      504        0.273        3.489            0      306.971      189.224      160.813
      505        0.232        3.502            0      308.092      189.463      165.144
      506        0.234        3.459            0      305.218      165.168      163.346
      507        0.145        3.447            0      305.591      167.197      162.519
      508        0.246        3.434            0      305.426      193.405      158.687
      509        0.151        3.470            0      306.611      173.910      163.829
      510        0.206        3.466            0      304.579      188.279      157.051
      511        0.184        3.489            0      307.826      185.939      160.785
      512        0.222        3.485            0      306.262      202.860      162.261
      513        0.327        3.370            0      301.768      188.764      161.452
      514        0.256        3.483            0      308.715      207.195      160.407
      515        0.247        3.457            0      305.355      184.106      158.879
      516        0.236        3.479            0      306.784      181.876      159.908
      517        0.220        3.408            0      303.990      174.340      162.588
      518        0.221        3.480            0      308.059      185.591      162.740
      519        0.154        3.440            0      306.650      182.532      164.107
