  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      467        0.505        4.022            0      299.502      186.813      169.628
      468        0.854        3.927            0      295.651      190.651      171.973
      469        0.758        4.064            0      302.220      179.666      176.059
      470        0.799        4.033            0      299.941      184.340      169.294
      471        0.565        4.041            0      299.398      173.306      178.203
      472        0.744        3.964            0      296.937      177.284      175.802
      473        0.744        4.012            0      299.239      181.600      181.930
      474        0.909        3.980            0      300.150      186.788      178.598
      475        0.626        4.047            0      299.924      184.896      174.020
      476        0.708        4.055            0      299.005      201.946      167.864
      477        0.829        3.997            0      298.494      180.329      173.425
      478        0.737        4.002            0      298.355      204.609      176.131
      479        0.661        3.977            0      295.871      194.382      171.853
      480        0.608        4.068            0      301.491      190.948      178.415
      481        0.622        4.009            0      297.485      170.464      175.803
      482        0.885        4.005            0      299.253      190.681      175.616
      483        0.632        4.007            0      299.670      188.315      174.159
      484        0.370        4.052            0      300.196      171.554      169.639
      485        0.857        3.989            0      299.540      168.991      175.075
      486        0.893        3.977            0      297.442      187.945      168.664
      487        0.833        3.995            0      298.338      179.798      171.052
      488        0.908        3.948            0      296.637      181.368      178.179
      489        0.884        4.013            0      299.756      211.566      174.647
      490        0.728        3.980            0      296.758      199.200      174.740
      491        0.902        3.948            0      295.550      191.994      170.461
      492        0.831        3.986            0      298.437      270.470      173.027
      493        0.575        4.021            0      296.446      237.836      165.923
      494        0.555        3.937            0      295.712      227.927      173.572
      495        0.595        3.995            0      297.606      268.523      173.018
      496        0.517        3.947            0      296.181      246.500      171.697
      497        0.415        4.054            0      299.754      264.271      167.076
      498        0.857        4.013            0      298.539      202.226      169.713
      499        0.429        4.025            0      298.994      204.336      168.511
      500        0.628        4.024            0      297.988      210.074      174.214
      501        0.619        4.038            0      300.053      228.045      172.907
      502        0.604        3.982            0      297.522      193.979      173.687
      503        0.670        3.993            0      300.194      205.544      177.528
      504        0.710        4.028            0      300.306      189.209      170.503
      505        0.860        3.984            0      299.801      200.978      174.466
      506        1.050        3.957            0      299.639      198.810      170.540
      507        0.693        4.054            0      300.933      192.727      173.452
      508        0.726        4.047            0      299.551      213.386      170.707
      509        0.865        3.979            0      298.048      188.632      176.839
      510        0.821        4.006            0      297.847      167.086      173.650
      511        0.919        3.981            0      298.362      185.563      172.637
      512        0.739        4.018            0      299.255      188.674      172.237
      513        0.667        3.961            0      296.022      183.048      167.357
      514        0.777        3.981            0      298.629      177.231      176.791
      515        0.671        3.971            0      296.346      181.046      172.450
      516        0.789        4.032            0      297.956      161.361      172.656
      517        0.661        4.068            0      301.960      180.199      178.015
      518        0.615        4.054            0      298.472      185.129      169.829
      519        0.737        3.957            0      296.071      168.187      177.907
      520        0.698        3.994            0      297.830      179.300      169.710
      521        0.777        4.000            0      296.076      179.370      170.275
      522        0.753        4.058            0      298.576      186.801      171.840
      523        0.869        4.024            0      300.099      196.130      175.856
      524        0.750        3.996            0      298.000      181.582      168.654
      525        0.654        4.026            0      298.190      177.505      171.522
      526        0.738        4.001            0      299.112      199.468      175.118
      527        0.865        3.965            0      296.750      205.691      166.131
      528        0.720        4.037            0      300.899      194.519      174.799
      529        0.660        4.053            0      299.077      184.638      172.688
      530        0.643        4.064            0      301.488      169.964      173.565
      531        0.862        3.984            0      297.532      178.861      171.083
      532        0.476        4.004            0      297.284      205.057      169.935
      533        0.744        4.012            0      298.663      190.464      173.534
      534        0.604        4.031            0      298.943      177.864      171.101
      535        0.678        4.020            0      298.968      195.295      174.442
      536        0.779        3.994            0      297.616      226.853      168.200
      537        0.820        4.024            0      299.680      212.111      171.934
      538        0.642        4.009            0      299.428      230.031      172.349
      539        0.689        4.018            0      297.689      230.766      168.985
      540        0.288        4.042            0      297.335      215.594      161.770
      541        0.512        4.007            0      295.383      210.263      167.035
      542        0.267        4.033            0      298.110      211.457      166.546
      543        0.516        4.006            0      296.673      217.992      166.648
      544        0.361        4.038            0      298.093      220.629      169.250
      545        0.795        4.047            0      299.235      203.753      169.475
      546        0.741        4.003            0      298.868      224.615      174.567
      547        0.315        4.054            0      296.613      228.213      165.969
      548        0.571        3.991            0      298.045      221.748      173.327
      549        0.664        3.998            0      297.742      217.246      174.073
      550        0.773        4.017            0      298.210      206.442      172.713
      551        0.620        4.066            0      300.774      224.038      171.057
      552        0.803        4.008            0      299.349      208.921      175.365
